LEILAO;DATA;LOTE;DESCRICAO;REGIAO;CAPEX;RAP_EDITAL;RAP_CAPEX;RAP_CONTRATADA;CLASSE_RAP;DESAGIO_MEDIO;DESAGIO;PRAZO  ;ANTECIPACAO;DIFERENCA;RAZAO;N_INSCRITAS;N_PROPONENTES;VENCEDORA;FORMA_PARTICIPACAO;EL500;EL345;EL230;EXT_CIRCUITO;ALUMINIO;POTENCIA;EQUIPAMENTO  ;SE;SE_sn;SE10;RISCO_BRASIL;WACC;SELIC;WS;DOLAR;LME AL;MIDWEST;LME CU;ICSA;APETITE;REXT;DESAGIO_ANTERIOR
ANEEL_13_2015_1;13/04/2016;1;"LT 500 kV Parnaíba III - Acaraú III C1, com 191 km; LT 500 kV Acaraú III - Pecém II C1, com 161 km; LT 500 kV Acaraú III - Tianguá II C1, com 150 km; LT 500 kV Bacabeira - Parnaíba III C1 e C2, com 2 x 312 km; SE 500 kV Bacabeira; SE 500 kV Parnaíba III e Compensador Estático (-150/300) Mvar; SE 500 kV Acaraú III ; SE 500 kV Tianguá II.";NORDESTE;1964505000;404961072;0,206139;404961072;> R$300.000.000,00;0;0;60;31;29;0,516667;1;1;FI;C;814;0;0;1126;32316755,61;0;1;4;1;40;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;4,54;NÃO;359645,7123;0
ANEEL_13_2015_1;13/04/2016;2;"LT 500 kV Paranatinga –Ribeirãozinho – C3, com 355 km; CS 475 Mvar no terminal de Paranatinga; LT 500 kV Cláudia - Paranatinga - C3, com 350 km; CS 430 Mvar no terminal de Paranatinga; LT 500 kV Paranaíta - Cláudia C3, com 300 km.";CENTRO-OESTE;1601094000;334568197;0,208962;334568197;> R$300.000.000,00;0;0;60;19;41;0,316667;1;1;CT;I;1005;0;0;1005;39899679,84;0;1;0;0;0;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;1,39;NÃO;332903,6786;0
ANEEL_13_2015_1;13/04/2016;3;"LT 500 kV Juazeiro III - Ourolândia II C1, com 186 km; LT 500 kV Bom Jesus da Lapa II - Gentio do Ouro II C1, com 260 km;";NORDESTE;720487000;141493938;0,196387;121600000;R$100.000.000,00 - R$200.000.000,00;0;0,1405;48;31;17;0,645833;2;2;FI;C;446;0;0;446;17706723,59;0;0;0;0;0;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;0;SIM;317250,9821;0
ANEEL_13_2015_1;13/04/2016;4;LT 345 kV Bandeirante - Piratininga II C1 e C2, com 15 km cada (subterrânea);SUDESTE;650216000;145258968;0,223401;145258968;R$100.000.000,00 - R$200.000.000,00;0,046833;0;48;0;48;0;1;1;CPP;C;0;15;0;30;248118,07;0;0;0;0;0;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;0,93;NÃO;4841965,6;0,1405
ANEEL_13_2015_1;13/04/2016;5;"LT 230 kV João Câmara II - João Câmara Ill C1 e C2, CD, com 2x10 km; SE 500 kV João Câmara III - 500/230 kV (9+1Res)x300 MVA.";NORDESTE;284878000;54486205;0,191262;48487000;< R$100.000.000,00;0,035125;0,1101;42;31;11;0,738095;2;2;CT;I;0;0;10;20;161612,14;2700;0;1;1;10;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;0;NÃO;2724310,25;0
ANEEL_13_2015_1;13/04/2016;6;LT 500 kV Campinas - Itatiba C2, com 25,1 km;SUDESTE;80836000;17439738;0,215742;17439738;< R$100.000.000,00;0,05012;0,0063;60;16;44;0,266667;1;1;FI;I;25,1;0;0;25,1;996499,47;0;0;0;0;0;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;2,31;NÃO;694810,2789;0,1101
ANEEL_13_2015_1;13/04/2016;7;"LT 500 kV Ibicoara - Poções III, com 165 km; LT 230 kV Poções III - Poções II CD, C1 e C2, 2 x 2,5 km; SE 500/230 kV Poções III - (3+1Res) x 200 MVA;";NORDESTE;367948000;70168461;0,190702;59590000;< R$100.000.000,00;0,042817;0,1507;42;0;42;0;3;2;FI;C;165;0;2,5;175;6591096,74;600;0;1;1;10;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;0;SIM;400962,6343;0,0063
ANEEL_13_2015_1;13/04/2016;8;"LT 230kV Paranatinga - Canarana, 262km; SE 230/138kV Canarana - pátio novo em 230kV - (3+1R) x 40 MVA; SE 500/230kV Paranatinga - pátio novo em 230kV - (3+ 1R) x 40MVA";CENTRO-OESTE;300453000;61470571;0,204593;58212631;< R$100.000.000,00;0,058229;0,0529;48;0;48;0;3;1;CT;I;0;0;262;262;4234238,01;240;0;2;1;20;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;2,41;NÃO;234620,5;0,1507
ANEEL_13_2015_1;13/04/2016;9;"LT 500kV Miracema - Lajeado, C2, 30km; LT 230kV Lajeado - Palmas, C1 e C2, 60km; SE Lajeado (pátio 500 kV e 2ª Transformação 3 x 320 MVA); SE 230/138kV Palmas - 2 x 200MVA";NORTE;275483000;56044971;0,203443;56044971;< R$100.000.000,00;0,057563;0;42;0;42;0;3;1;CT;I;30;0;60;90;2160708,05;1360;0;2;1;20;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;4,81;NÃO;622721,9;0,0529
ANEEL_13_2015_1;13/04/2016;10;"LT 230 kV Torres 2 - Atlântida 2, com 63 km; LT 230 kV Torres 2 - Forquilinha, com 70 km; SE 230/69 kV Torres 2 (Nova), 2x83 MVA. SE 230/138/69 kV Tubarão Sul - 1 ATR 230/138 kV x150 MVA e 2 TR 230/69 kV 150 MVA Secc. LT 230 kV Jorge Lacerda - Siderópolis C3 em Tubarão Sul - 2 x 8,5 km";SUL;205230000;40085218;0,195319;40085218;< R$100.000.000,00;0,051167;0;48;12;36;0,25;1;1;FI;C;0;0;141,5;150;2286811,75;616;0;2;1;20;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;4,35;NÃO;267234,7867;0
ANEEL_13_2015_1;13/04/2016;11;SE 440/138 kV Água Azul - (6+1R)x100MVA;SUDESTE;169753000;31107925;0,183254;31107925;< R$100.000.000,00;0,04605;0;36;10;26;0,277778;3;1;CPP;I;0;0;0;0;0;600;0;1;1;10;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;0,93;NÃO;311079250;0
ANEEL_13_2015_1;13/04/2016;12;SE 345/138 kV Rio Novo do Sul - 345/138 kV (6+1Res) x 133,33 MVA;SUDESTE;150960000;28147141;0,186454;28147141;< R$100.000.000,00;0,041864;0;36;0;36;0;3;1;CT;I;0;0;0;0;0;799,98;0;1;1;10;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;1,39;NÃO;281471410;0
ANEEL_13_2015_1;13/04/2016;13;SE 230/138kV Onça Puma - pátio novo de 138kV - 2 x 100MVA;NORTE;50242000;9428642;0,187665;8760000;< R$100.000.000,00;0,038375;0,0709;36;1;35;0,027778;2;2;CPP;C;0;0;0;0;0;200;0;1;1;10;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;0;NÃO;94286420;0
ANEEL_13_2015_1;13/04/2016;14;SE 500/138kV Paranaíta - pátio novo 138 kV e Transformação (3+1R)X50MVA;CENTRO-OESTE;51000000;9589586;0,188031;8500000;< R$100.000.000,00;0,040877;0,1136;36;0;36;0;3;2;CPP;C;0;0;0;0;0;150;0;1;1;10;387;9,11;14,25;1,564215;3,54;1544,5;165;4830;1,39;NÃO;95895860;0,0709
ANEEL_13_2015_2;28/10/2016;1;LT 500 kV Sapeaçu - Poções III C1, com 260 km;NORDESTE;408490000;85435520;0,20915;76700000;< R$100.000.000,00;0;0,1022;60;0;60;0;4;3;FI;C;260;0;0;260;10202820,48;0;0;0;0;0;308;9,11;14;1,536773;3,18;1681;200;4786;1,39;NÃO;328598,1538;0
ANEEL_13_2015_2;28/10/2016;2;"LT 500 kV Poções III - Padre Paraíso 2 C1, com 334 km; – LT 500 kV Padre Paraíso 2 - Governador Valadares 6 C1, com 207 km; – SE 500 kV Padre Paraíso 2 (SE nova para conexões de linhas e compensação de reativos); – SE 500/230 kV Governador Valadares 6 – (6+1Res) x 200 MVA";SUDESTE;1268737000;264592750;0,208548;214700000;R$200.000.000,00 - R$ 300.000.000,00;0,1022;0,1885;60;23;37;0,383333;4;2;CT;C;541;0;0;541;21229714,93;1200;0;2;1;20;308;9,11;14;1,536773;3,18;1681;200;4786;2,31;NÃO;489080,8688;0,1022
ANEEL_13_2015_2;28/10/2016;3;LT 500 kV Poções III - Padre Paraíso 2 C2, com 338 km;SUDESTE;509595000;106613120;0,209211;106613120;R$100.000.000,00 - R$200.000.000,00;0,14535;0;60;23;37;0,383333;2;1;CT;C;338;0;0;338;13263666,63;0;0;0;0;0;308;9,11;14;1,536773;3,18;1681;200;4786;4,35;NÃO;315423,432;0,1885
ANEEL_13_2015_2;28/10/2016;4;LT 500 kV Padre Paraíso 2 - Governador Valadares 6 C2, com 208 km;SUDESTE;341118000;71424700;0,209384;71424700;< R$100.000.000,00;0,0969;0;60;23;37;0,383333;2;1;CT;C;208;0;0;208;8162256,39;0;0;0;0;0;308;9,11;14;1,536773;3,18;1681;200;4786;2,78;NÃO;343387,9808;0
ANEEL_13_2015_2;28/10/2016;5;SE 500 kV Padre Paraíso 2 - Compensador Estático 500 kV (-150/+300) Mvar;SUDESTE;97388000;21377040;0,219504;17666000;< R$100.000.000,00;0,072675;0,1735;60;37;23;0,616667;7;4;CPP;C;0;0;0;0;0;0;1;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;1,39;SIM;213770400;0
ANEEL_13_2015_2;28/10/2016;6;"LT 500 kV Governador Valadares 6 - Mutum C1, com 156 km; – LT 500 kV Mutum - Rio Novo do Sul C1, com 132 km; – SE 500 kV Mutum (SE nova para conexões de linhas e compensação de reativos); – SE 500/345 kV Rio Novo do Sul - (3+1 Res) x 350 MVA.";SUDESTE;698780000;145986950;0,208917;145986950;R$100.000.000,00 - R$200.000.000,00;0,09284;0;60;23;37;0,383333;2;1;CT;C;288;0;0;288;11301585,77;1050;0;2;1;20;308;9,11;14;1,536773;3,18;1681;200;4786;1,85;NÃO;506899,1319;0,1735
ANEEL_13_2015_2;28/10/2016;7;LT 500 kV Governador Valadares 6 - Mutum C2, com 165 km.;;0;;0;;;;;60;;60;0;;;;;;;;0;0;;;;;0;308;9,11;14;1,536773;;1681;200;4786;;;0;
ANEEL_13_2015_2;28/10/2016;8;LT 500 kV Governador Valadares 6 - Mutum C2, com 165 km.;NORDESTE;444834000;92657020;0,208296;77832000;< R$100.000.000,00;0,077367;0,1599;60;23;37;0,383333;5;3;CNE;I;251;0;0;251;9849645,93;0;0;0;0;0;308;9,11;14;1,536773;3,18;1681;200;4786;0,46;SIM;369151,4741;0
ANEEL_13_2015_2;28/10/2016;9;"LT 500 kV Barreiras II - Buritirama C1, com 213 km; – SE 500 kV Buritirama (SE nova para conexões de linhas e compensação de reativos).";NORDESTE;473109000;98038240;0,207221;70588000;< R$100.000.000,00;0,089157;0,2799;60;23;37;0,383333;8;5;CNE;I;213;0;0;213;8358464,47;0;0;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;1,39;SIM;460273,4272;0,1599
ANEEL_13_2015_2;28/10/2016;10;"LT 500 kV Queimada Nova II - Curral Novo do Piauí II C1, com 109 km; – LT 500 kV Buritirama - Queimada Nova II, C1, com 376 km; – SE 500 kV Queimada Nova II (SE nova para conexões de linhas e compensação de reativos).";NORDESTE;819688000;171256970;0,208929;148308000;R$100.000.000,00 - R$200.000.000,00;0,113;0,134;60;23;37;0,383333;6;3;CGP;C;485;0;0;485;19032184,37;0;0;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;0,46;NÃO;353107,1546;0,2799
ANEEL_13_2015_2;28/10/2016;11;LT 500 kV Queimada Nova II - Milagres II C1, com 322 km.;;0;;0;;;;;60;;60;0;;;;;;;;0;0;;;;;0;308;9,11;14;1,536773;;1681;200;4786;;;0;
ANEEL_13_2015_2;28/10/2016;12;LT 500 kV Buritirama - Queimada Nova II, C2, com 380 km;NORDESTE;547501000;114331590;0,208824;102900000;R$100.000.000,00 - R$200.000.000,00;0,115333;0,0999;60;23;37;0,383333;5;4;CNE;I;380;0;0;380;14911814,55;0;0;0;0;0;308;9,11;14;1,536773;3,18;1681;200;4786;1,85;NÃO;300872,6053;0,134
ANEEL_13_2015_2;28/10/2016;13;"LT 500 kV Açu III - Milagres II C2, com 292 km; – LT 500 kV Açu III - João Câmara III C2, com 143 km.";NORDESTE;679335000;142032740;0,209076;111495000;R$100.000.000,00 - R$200.000.000,00;0,103445;0,215;60;23;37;0,383333;4;3;CGP;C;435;0;0;435;17070103,5;0;0;0;0;0;308;9,11;14;1,536773;3,18;1681;200;4786;2,13;SIM;326512,046;0,0999
ANEEL_13_2015_2;28/10/2016;14;"LT 500 kV Igaporã III - Janaúba 3 C1, com 257 km; – LT 500 kV Janaúba 3 - Presidente Juscelino C1, com 337 km; – SE 500 kV Janaúba 3 (novo pátio de 500 kV – parte 1)";SUDESTE;1065594000;223056950;0,209326;185598000;R$200.000.000,00 - R$ 300.000.000,00;0,122991;0,1679;60;23;37;0,383333;6;3;CNE;I;594;0;0;594;23309520,65;0;0;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;1,85;NÃO;375516,7508;0,215
ANEEL_13_2015_2;28/10/2016;15;LT 500 kV Igaporã III - Janaúba 3 C2, com 257 km.;SUDESTE;435452000;91107990;0,209226;85642000;< R$100.000.000,00;0,126733;0,0599;60;23;37;0,383333;3;1;CNE;I;257;0;0;257;10085095,63;0;0;0;0;0;308;9,11;14;1,536773;3,18;1681;200;4786;0,93;NÃO;354505,7977;0,1679
ANEEL_13_2015_2;28/10/2016;16;LT 500 kV Janaúba 3 - Presidente Juscelino C2, com 330 km.;SUDESTE;507222000;106179410;0,209335;106179410;R$100.000.000,00 - R$200.000.000,00;0,121592;0;60;23;37;0,383333;3;1;CNE;I;330;0;0;330;12949733,69;0;0;0;0;0;308;9,11;14;1,536773;3,18;1681;200;4786;1,39;NÃO;321755,7879;0,0599
ANEEL_13_2015_2;28/10/2016;17;"LT 500 kV Bom Jesus da Lapa II - Janaúba 3 C1, com 304 km;  – LT 500 kV Janaúba 3 - Pirapora 2 C1, com 238 km; – SE 500 kV Janaúba 3 (novo pátio de 500 kV – parte 2).";SUDESTE;959604000;200856670;0,209312;174624789;R$200.000.000,00 - R$ 300.000.000,00;0,112907;0,1305;60;23;37;0,383333;6;2;CT;I;542;0;0;542;21268956,55;0;0;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;3,43;SIM;370584,262;0
ANEEL_13_2015_2;28/10/2016;18;SE 500 kV Janaúba 3 - Compensadores Síncronos - 2 x (-90/+150) Mvar.;SUDESTE;211311000;47337730;0,224019;39400000;< R$100.000.000,00;0,11408;0,1676;60;23;37;0,383333;5;3;FI;C;0;0;0;0;0;0;1;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;1,39;NÃO;473377300;0,1305
ANEEL_13_2015_2;28/10/2016;19;LT 500 kV Presidente Juscelino - Itabira 5 C2, com 189 km;;0;;0;;;;;60;;60;0;;;;;;;;0;0;;;;;0;308;9,11;14;1,536773;;1681;200;4786;;;0;
ANEEL_13_2015_2;28/10/2016;20;"LT 500 kV Rio das Éguas - Arinos 2 C1, com 230 km; – LT 500 kV Arinos 2 - Pirapora 2 C1, com 221 km; – SE 500 kV Arinos 2 (SE nova para conexões de linhas e compensação de reativos)";SUDESTE;806450000;158620390;0,19669;130510000;R$100.000.000,00 - R$200.000.000,00;0,117425;0,1772;48;23;25;0,479167;4;2;CGP;C;451;0;0;451;17697969,38;0;0;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;2,31;NÃO;351708,1818;0,1676
ANEEL_13_2015_2;28/10/2016;21;"LT 345 kV Viana 2 – João Neiva 2 – 79 km; – SE 345/138 kV João Neiva 2, (9+1Res) x 133 MVA e Compensador Estático 345 kV (- 150/+150) Mvar";SUDESTE;297819000;63059310;0,211737;47200000;< R$100.000.000,00;0,120941;0,2514;60;17;43;0,283333;5;4;CT;I;0;79;0;79;1291628,97;1197;1;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;3,06;NÃO;798219,1139;0,1772
ANEEL_13_2015_2;28/10/2016;22;"LT 500 kV Mesquita - João Neiva 2, com 236 km; – SE 500/345 kV João Neiva 2, 500/345 kV - (3+1Res) x 350 MVA.";SUDESTE;485841000;101019640;0,207927;101019640;R$100.000.000,00 - R$200.000.000,00;0,128189;0;60;0;60;0;4;1;CT;I;236;0;0;236;9261021,67;1050;0;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;0,93;NÃO;428049,322;0,2514
ANEEL_13_2015_2;28/10/2016;23;"LT 500 kV Vila do Conde - Marituba - 56,1 km; – LT 230kV Marituba - Castanhal - 68,6 km; – SE 500/230 kV Marituba - (3+1R)x300 MVA; – SE 230/69 kV Marituba - 2X200 MVA.";NORTE;426985000;89784520;0,210276;89784520;< R$100.000.000,00;0,121442;0;60;0;60;0;1;1;CNE;I;56,1;0;68,6;124,7;3297280,83;1300;0;2;1;20;308;9,11;14;1,536773;3,18;1681;200;4786;3,06;NÃO;720004,17;0
ANEEL_13_2015_2;28/10/2016;24;SE 230/138 kV São Mateus 2 (nova) - (3+1R)x50 MVA, – LT 230 kV Linhares 2 - São Mateus 2 - 113 km;SUDESTE;116046000;21854510;0,188326;20718075;< R$100.000.000,00;0,11537;0,052;24;0;24;0;6;2;CNE;I;0;0;113;113;1805077,97;150;0;1;1;10;308;9,11;14;1,536773;3,18;1681;200;4786;2,31;NÃO;193402,7434;0
ANEEL_05_2016;24/04/2017;1;"LT 525 kV Guaíra - Sarandi - CD, C1 e C2, com 2 x 266,3 km;   LT 525 kV Foz do Iguaçu - Guaíra - CD, C1 e C2, com 2 x 173 km;   LT 525 kV Londrina - Sarandi, CD, C1 e C2, com 75,5 km;   LT 230 kV Sarandi - Paranavaí Norte, CD, com 85 km
SE 525/230 kV Guaíra (novo pátio 525 kV) - (6+1 Res) x 224 MVA;   SE 525/230/138 kV Sarandi (novo pátio 525 kV) - 525/230 kV (6+1Res)x224 MVA;   SE 230/138 kV Paranavaí Norte - (6+1Res)x50 MVA";SUL;1936473885;400462340;0,2068;267316703;> R$300.000.000,00;0;0,3325;60;42;18;0,7;5;5;CT;C;514,8;0;85;1200;24082033,55;2988;0;3;1;30;263;10,66;11,25;1,055347;3,12;1927,5;214;5611;2,87;NÃO;333718,6167;0
ANEEL_05_2016;24/04/2017;2;"LT 230 kV Umuarama Sul - Guaíra C2, CS, com 108 km;    SE 230/138 kV Londrina Sul - (3+1Res)x50 MVA;   Trecho de LT SE Londrina Sul ao Secc (LT 230 kV Londrina - Apucarana) C1 - 2 x 4,5 km";SUL;157158635;32067390;0,204045;28058966;< R$100.000.000,00;0,3325;0,125;48;42;6;0,875;5;1;CPP;C;0;0;112,5;117;2007367,11;150;0;1;1;10;263;10,66;11,25;1,055347;3,12;1927,5;214;5611;1,85;SIM;274080,2564;0,3325
ANEEL_05_2016;24/04/2017;3;"LT 230 kV Rio Verde Norte - Jataí - CD, C1 e C2, com 2 x 136 km; SE 500/230 kV Rio Verde Norte (novo pátio 230 kV) - (6+1 Res) x 224 MVA";CENTRO-OESTE;295294126;58818710;0,199187;36702875;< R$100.000.000,00;0,22875;0,376;48;5;43;0,104167;10;9;CNE;I;0;0;136;272;2426683,79;1344;0;1;1;10;263;10,66;11,25;1,055347;3,12;1927,5;214;5611;0,93;NÃO;216245,2574;0,125
