,empresa,indicador,valor,na,nd,criterio,peso_especifica,peso_geral,criterio_desempate,sub_indicador,calculado,direcao_indicador
712,LIGHT,DEC INTERNO ANTERIOR,7.77,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
713,NEOENERGIA BRASÍLIA,DEC INTERNO ANTERIOR,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
714,RGE,DEC INTERNO ANTERIOR,13.74,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
186,AMAZONAS ENERGIA,EFICIENCIA CAPITAL GIRO,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
187,CEEE,EFICIENCIA CAPITAL GIRO,,1.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
188,CELESC,EFICIENCIA CAPITAL GIRO,1.112222,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
189,CELPE,EFICIENCIA CAPITAL GIRO,1.0048251,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
190,CEMIG,EFICIENCIA CAPITAL GIRO,2.3816202,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
191,COELBA,EFICIENCIA CAPITAL GIRO,0.7035639,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
192,COPEL,EFICIENCIA CAPITAL GIRO,0.8530176,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
193,COSERN,EFICIENCIA CAPITAL GIRO,0.83449477,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
194,CPFL PAULISTA,EFICIENCIA CAPITAL GIRO,1.287012,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
195,CPFL PIRATININGA,EFICIENCIA CAPITAL GIRO,0.7076989,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
196,EDP ES,EFICIENCIA CAPITAL GIRO,0.9014743,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
197,EDP SP,EFICIENCIA CAPITAL GIRO,1.09,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
198,ELEKTRO,EFICIENCIA CAPITAL GIRO,0.92676765,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
199,ENEL CE,EFICIENCIA CAPITAL GIRO,1.4120328,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
200,ENEL GO,EFICIENCIA CAPITAL GIRO,0.23764643,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
201,ENEL RJ,EFICIENCIA CAPITAL GIRO,1.0051893,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
202,ENEL SP,EFICIENCIA CAPITAL GIRO,0.77803284,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
203,ENERGISA MS,EFICIENCIA CAPITAL GIRO,1.0650474,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
204,ENERGISA MT,EFICIENCIA CAPITAL GIRO,1.2773832,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
205,ENERGISA PB,EFICIENCIA CAPITAL GIRO,1.096311,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
206,ENERGISA RO,EFICIENCIA CAPITAL GIRO,-0.55145735,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
207,ENERGISA SE,EFICIENCIA CAPITAL GIRO,1.2505708,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
208,ENERGISA SS,EFICIENCIA CAPITAL GIRO,1.2475843,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
209,ENERGISA TO,EFICIENCIA CAPITAL GIRO,1.0612253,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
210,EQTL ALAGOAS,EFICIENCIA CAPITAL GIRO,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
211,EQTL MARANHÃO,EFICIENCIA CAPITAL GIRO,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
212,EQTL PARÁ,EFICIENCIA CAPITAL GIRO,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
213,EQTL PIAUÍ,EFICIENCIA CAPITAL GIRO,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
214,LIGHT,EFICIENCIA CAPITAL GIRO,1.3278607,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
215,NEOENERGIA BRASÍLIA,EFICIENCIA CAPITAL GIRO,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
216,RGE,EFICIENCIA CAPITAL GIRO,1.0553226,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
217,AMAZONAS ENERGIA,EFICIENCIA CAPITAL PROPRIO TERCEIROS,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
218,CEEE,EFICIENCIA CAPITAL PROPRIO TERCEIROS,,1.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
219,CELESC,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.71,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
220,CELPE,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.44,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
221,CEMIG,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.67,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
222,COELBA,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.54,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
223,COPEL,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.53,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
224,COSERN,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.44,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
225,CPFL PAULISTA,EFICIENCIA CAPITAL PROPRIO TERCEIROS,6.44,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
226,CPFL PIRATININGA,EFICIENCIA CAPITAL PROPRIO TERCEIROS,8.25,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
227,EDP ES,EFICIENCIA CAPITAL PROPRIO TERCEIROS,2.0,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
228,EDP SP,EFICIENCIA CAPITAL PROPRIO TERCEIROS,2.11,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
229,ELEKTRO,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.11,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
230,ENEL CE,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.14,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
231,ENEL GO,EFICIENCIA CAPITAL PROPRIO TERCEIROS,0.4,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
232,ENEL RJ,EFICIENCIA CAPITAL PROPRIO TERCEIROS,0.25,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
233,ENEL SP,EFICIENCIA CAPITAL PROPRIO TERCEIROS,2.25,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
234,ENERGISA MS,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.32,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
235,ENERGISA MT,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.33,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
236,ENERGISA PB,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.32,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
237,ENERGISA RO,EFICIENCIA CAPITAL PROPRIO TERCEIROS,,1.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
238,ENERGISA SE,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.79,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
239,ENERGISA SS,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.17,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
240,ENERGISA TO,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.38,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
241,EQTL ALAGOAS,EFICIENCIA CAPITAL PROPRIO TERCEIROS,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
242,EQTL MARANHÃO,EFICIENCIA CAPITAL PROPRIO TERCEIROS,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
243,EQTL PARÁ,EFICIENCIA CAPITAL PROPRIO TERCEIROS,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
244,EQTL PIAUÍ,EFICIENCIA CAPITAL PROPRIO TERCEIROS,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
245,LIGHT,EFICIENCIA CAPITAL PROPRIO TERCEIROS,0.71,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
246,NEOENERGIA BRASÍLIA,EFICIENCIA CAPITAL PROPRIO TERCEIROS,,0.0,1.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
247,RGE,EFICIENCIA CAPITAL PROPRIO TERCEIROS,1.58,0.0,0.0,Gestão Econômica Financeira,20,5.0,0,0,0,maior melhor
529,AMAZONAS ENERGIA,ETHOS,,0.0,1.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
530,CEEE,ETHOS,3.17,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
531,CELESC,ETHOS,6.21,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
532,CELPE,ETHOS,6.76,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
533,CEMIG,ETHOS,5.35,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
534,COELBA,ETHOS,6.74,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
535,COPEL,ETHOS,6.63,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
536,COSERN,ETHOS,6.92,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
537,CPFL PAULISTA,ETHOS,7.05,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
538,CPFL PIRATININGA,ETHOS,7.38,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
539,EDP ES,ETHOS,6.12,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
540,EDP SP,ETHOS,6.34,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
541,ELEKTRO,ETHOS,6.95,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
542,ENEL CE,ETHOS,7.03,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
543,ENEL GO,ETHOS,6.34,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
544,ENEL RJ,ETHOS,6.63,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
545,ENEL SP,ETHOS,7.28,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
546,ENERGISA MS,ETHOS,5.84,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
547,ENERGISA MT,ETHOS,4.97,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
548,ENERGISA PB,ETHOS,5.78,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
549,ENERGISA RO,ETHOS,5.12,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
550,ENERGISA SE,ETHOS,5.71,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
551,ENERGISA SS,ETHOS,6.16,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
552,ENERGISA TO,ETHOS,5.66,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
553,EQTL ALAGOAS,ETHOS,,0.0,1.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
554,EQTL MARANHÃO,ETHOS,,0.0,1.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
555,EQTL PARÁ,ETHOS,,0.0,1.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
556,EQTL PIAUÍ,ETHOS,,0.0,1.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
557,LIGHT,ETHOS,5.1,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
558,NEOENERGIA BRASÍLIA,ETHOS,,0.0,1.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
559,RGE,ETHOS,7.19,0.0,0.0,Responsabilidade Socioambiental,65,6.5,0,0,0,maior melhor
280,,FEC,,,,Gestão Operacional,20,5.0,0,0,1,maior melhor
963,AMAZONAS ENERGIA,FEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
964,CEEE,FEC ANEEL,6.97,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
965,CELESC,FEC ANEEL,8.65,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
966,CELPE,FEC ANEEL,8.34,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
967,CEMIG,FEC ANEEL,6.98,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
968,COELBA,FEC ANEEL,7.87,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
969,COPEL,FEC ANEEL,7.38,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
970,COSERN,FEC ANEEL,8.01,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
971,CPFL PAULISTA,FEC ANEEL,6.04,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
972,CPFL PIRATININGA,FEC ANEEL,5.68,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
973,EDP ES,FEC ANEEL,6.87,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
974,EDP SP,FEC ANEEL,6.03,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
975,ELEKTRO,FEC ANEEL,6.39,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
976,ENEL CE,FEC ANEEL,7.32,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
977,ENEL GO,FEC ANEEL,9.89,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
978,ENEL RJ,FEC ANEEL,7.28,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
979,ENEL SP,FEC ANEEL,5.15,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
980,ENERGISA MS,FEC ANEEL,8.16,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
981,ENERGISA MT,FEC ANEEL,17.05,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
982,ENERGISA PB,FEC ANEEL,9.5,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
983,ENERGISA RO,FEC ANEEL,18.84,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
984,ENERGISA SE,FEC ANEEL,8.11,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
985,ENERGISA SS,FEC ANEEL,7.25,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
986,ENERGISA TO,FEC ANEEL,15.67,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
987,EQTL ALAGOAS,FEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
988,EQTL MARANHÃO,FEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
989,EQTL PARÁ,FEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
990,EQTL PIAUÍ,FEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
991,LIGHT,FEC ANEEL,5.99,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
992,NEOENERGIA BRASÍLIA,FEC ANEEL,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
993,RGE,FEC ANEEL,8.4,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,maior melhor
932,AMAZONAS ENERGIA,FEC APURADO,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
933,CEEE,FEC APURADO,10.6,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
934,CELESC,FEC APURADO,6.69,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
935,CELPE,FEC APURADO,5.51,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
936,CEMIG,FEC APURADO,5.05,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
937,COELBA,FEC APURADO,5.54,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
938,COPEL,FEC APURADO,5.61,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
939,COSERN,FEC APURADO,3.85,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
940,CPFL PAULISTA,FEC APURADO,4.27,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
941,CPFL PIRATININGA,FEC APURADO,4.32,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
942,EDP ES,FEC APURADO,4.01,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
943,EDP SP,FEC APURADO,4.62,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
944,ELEKTRO,FEC APURADO,4.49,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
945,ENEL CE,FEC APURADO,6.3,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
946,ENEL GO,FEC APURADO,9.61,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
947,ENEL RJ,FEC APURADO,6.51,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
948,ENEL SP,FEC APURADO,3.83,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
949,ENERGISA MS,FEC APURADO,4.31,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
950,ENERGISA MT,FEC APURADO,7.77,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
951,ENERGISA PB,FEC APURADO,5.61,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
952,ENERGISA RO,FEC APURADO,17.2,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
953,ENERGISA SE,FEC APURADO,4.99,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
954,ENERGISA SS,FEC APURADO,4.29,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
955,ENERGISA TO,FEC APURADO,7.9,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
956,EQTL ALAGOAS,FEC APURADO,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
957,EQTL MARANHÃO,FEC APURADO,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
958,EQTL PARÁ,FEC APURADO,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
959,EQTL PIAUÍ,FEC APURADO,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
960,LIGHT,FEC APURADO,4.45,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
961,NEOENERGIA BRASÍLIA,FEC APURADO,,0.0,1.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
962,RGE,FEC APURADO,5.27,0.0,0.0,Gestão Operacional,0,0.0,0,1,0,menor melhor
994,AMAZONAS ENERGIA,FEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
995,CEEE,FEC DESVIO,1.5208035,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
996,CELESC,FEC DESVIO,0.7734104,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
997,CELPE,FEC DESVIO,0.6606715,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
998,CEMIG,FEC DESVIO,0.7234957,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
999,COELBA,FEC DESVIO,0.703939,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1000,COPEL,FEC DESVIO,0.7601626,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1001,COSERN,FEC DESVIO,0.4806492,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1002,CPFL PAULISTA,FEC DESVIO,0.70695364,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1003,CPFL PIRATININGA,FEC DESVIO,0.7605634,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1004,EDP ES,FEC DESVIO,0.58369726,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1005,EDP SP,FEC DESVIO,0.76616913,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1006,ELEKTRO,FEC DESVIO,0.7026604,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1007,ENEL CE,FEC DESVIO,0.8606557,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1008,ENEL GO,FEC DESVIO,0.97168857,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1009,ENEL RJ,FEC DESVIO,0.8942308,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1010,ENEL SP,FEC DESVIO,0.7436893,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1011,ENERGISA MS,FEC DESVIO,0.52818626,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1012,ENERGISA MT,FEC DESVIO,0.4557185,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1013,ENERGISA PB,FEC DESVIO,0.59052634,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1014,ENERGISA RO,FEC DESVIO,0.9129512,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1015,ENERGISA SE,FEC DESVIO,0.61528975,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1016,ENERGISA SS,FEC DESVIO,0.59172416,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1017,ENERGISA TO,FEC DESVIO,0.50414807,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1018,EQTL ALAGOAS,FEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1019,EQTL MARANHÃO,FEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1020,EQTL PARÁ,FEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1021,EQTL PIAUÍ,FEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1022,LIGHT,FEC DESVIO,0.74290484,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1023,NEOENERGIA BRASÍLIA,FEC DESVIO,,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1024,RGE,FEC DESVIO,0.62738097,0.0,0.0,Gestão Operacional,40,40.0,0,1,1,menor melhor
1025,AMAZONAS ENERGIA,FEC EVOLUCAO,,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1026,CEEE,FEC EVOLUCAO,3.4663866,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1027,CELESC,FEC EVOLUCAO,-11.780456,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1028,CELPE,FEC EVOLUCAO,-0.37383178,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1029,CEMIG,FEC EVOLUCAO,0.20618556,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1030,COELBA,FEC EVOLUCAO,-4.0816326,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1031,COPEL,FEC EVOLUCAO,-7.65391,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1032,COSERN,FEC EVOLUCAO,-23.56688,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1033,CPFL PAULISTA,FEC EVOLUCAO,-2.9953916,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1034,CPFL PIRATININGA,FEC EVOLUCAO,-1.3856813,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
1035,EDP ES,FEC EVOLUCAO,-12.445415,0.0,0.0,Gestão Operacional,30,30.0,0,1,1,menor melhor
