indicador;valor;min;max
ISQP;69,46573619;62,51916257;76,41230981
MEDIA IDAT RS 3 ANOS;73,8515865;66,46642785;81,23674515
PERDAS APURADO;8,57;9,427;7,713
DEC APURADO;7,16;7,876;6,444
FEC APURADO;4,62;5,082;4,158
INADIMPLENCIA;3,33224414;3,665468554;2,999019726
INS;94,04;84,636;100
FER;6,55;7,205;5,895
PSP;97,3;87,57;100
REMUN CRITERIO SETORIAL;13,49;12,141;14,839
RESULTADO OPERACIONAL;48,89;44,001;53,779
COBERTURA;3,41;3,751;3,069
EFICIENCIA CAPITAL GIRO;1,09;0,981;1,199
EFICIENCIA CAPITAL PROPRIO TERCEIROS;2,11;1,899;2,321
ETHOS;6,34;5,706;6,974
RELATORIO GESTAO;9,1;8,19;10,01