,iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy
49,49,TID,True,0.06500059461324646,0.0030025446021657055,10,[0.01165705 0.01006908 0.01001129 0.20793787 0.01041461 0.01090232 0.01198927 0.70558307 0.01012529 0.01131015],[ 4  8 10 12 13 18 25 27 29 30],1000,290,0.694862,100,1000,0.01,0.003,1,10,10,best,42,best
50,50,TID,True,0.06484887116172885,0.00300317673328546,10,[0.01165705 0.01006908 0.01001129 0.20585849 0.01041461 0.01090232 0.01406865 0.70558307 0.01012529 0.01131015],[ 4  8 10 12 13 18 25 27 29 30],1000,262,0.666913,100,1000,0.01,0.003,1,10,10,best,42,best
51,51,iDR,True,0.06460874726477354,0.0030001117303809456,10,[0.01168109 0.01008985 0.01003195 0.20422031 0.01043609 0.01092481 0.01409767 0.70703857 0.01014618 0.01133348],[ 4  8 10 12 13 18 25 27 29 30],1000,290,0.712929,100,1000,0.01,0.003,1,10,10,best,42,best
52,52,TID,True,0.06445607849702606,0.0030007325601221456,10,[0.01168109 0.01008985 0.01003195 0.20217811 0.01043609 0.01092481 0.01613987 0.70703857 0.01014618 0.01133348],[ 4  8 10 12 13 18 25 27 29 30],1000,204,0.589464,100,1000,0.01,0.003,1,10,10,best,42,best
53,53,TID,True,0.06430275823467409,0.003001347181565933,10,[0.01168109 0.01008985 0.01003195 0.20015633 0.01043609 0.01092481 0.01816166 0.70703857 0.01014618 0.01133348],[ 4  8 10 12 13 18 25 27 29 30],1000,215,0.60768,100,1000,0.01,0.003,1,10,10,best,42,best
54,54,TID,True,0.06414883633849106,0.003001955656795283,10,[0.01168109 0.01008985 0.01003195 0.19815476 0.01043609 0.01092481 0.02016322 0.70703857 0.01014618 0.01133348],[ 4  8 10 12 13 18 25 27 29 30],1000,272,0.70018,100,1000,0.01,0.003,1,10,10,best,42,best
55,55,TID,True,0.06399436130806073,0.003002558047272339,10,[0.01168109 0.01008985 0.01003195 0.19617321 0.01043609 0.01092481 0.02214477 0.70703857 0.01014618 0.01133348],[ 4  8 10 12 13 18 25 27 29 30],1000,274,0.65418,100,1000,0.01,0.003,1,10,10,best,42,best
56,56,TID,True,0.06383938031255446,0.0030031544138446244,10,[0.01168109 0.01008985 0.01003195 0.19421148 0.01043609 0.01092481 0.0241065  0.70703857 0.01014618 0.01133348],[ 4  8 10 12 13 18 25 27 29 30],1000,268,0.678304,100,1000,0.01,0.003,1,10,10,best,42,best
57,57,iDR,True,0.0636028156940261,0.0030002631158725975,10,[0.01170382 0.01010949 0.01005147 0.1926435  0.0104564  0.01094607 0.02415341 0.70841439 0.01016592 0.01135554],[ 4  8 10 12 13 18 25 27 29 30],1000,279,0.685197,100,1000,0.01,0.003,1,10,10,best,42,best
58,58,TID,True,0.06344734571355745,0.0030008487521229386,10,[0.01170382 0.01010949 0.01005147 0.19071707 0.0104564  0.01094607 0.02607984 0.70841439 0.01016592 0.01135554],[ 4  8 10 12 13 18 25 27 29 30],1000,214,0.610586,100,1000,0.01,0.003,1,10,10,best,42,best
59,59,TID,True,0.06329149220385484,0.0030014285320107757,10,[0.01170382 0.01010949 0.01005147 0.1888099  0.0104564  0.01094607 0.02798701 0.70841439 0.01016592 0.01135554],[ 4  8 10 12 13 18 25 27 29 30],1000,270,0.660615,100,1000,0.01,0.003,1,10,10,best,42,best
60,60,TID,True,0.06313529757096849,0.0030020025140997343,10,[0.01170382 0.01010949 0.01005147 0.1869218  0.0104564  0.01094607 0.02987511 0.70841439 0.01016592 0.01135554],[ 4  8 10 12 13 18 25 27 29 30],1000,287,0.691492,100,1000,0.01,0.003,1,10,10,best,42,best
61,61,TID,True,0.06297880302933,0.003002570756367804,10,[0.01170382 0.01010949 0.01005147 0.18505258 0.0104564  0.01094607 0.03174433 0.70841439 0.01016592 0.01135554],[ 4  8 10 12 13 18 25 27 29 30],1000,292,0.708741,100,1000,0.01,0.003,1,10,10,best,42,best
62,62,TID,True,0.06282204862894297,0.0030031333162131926,10,[0.01170382 0.01010949 0.01005147 0.18320205 0.0104564  0.01094607 0.03359486 0.70841439 0.01016592 0.01135554],[ 4  8 10 12 13 18 25 27 29 30],1000,292,0.721648,100,1000,0.01,0.003,1,10,10,best,42,best
63,63,iDR,True,0.06258972590121181,0.0030004061817488514,10,[0.01172531 0.01012804 0.01006992 0.18170292 0.01047559 0.01096616 0.03365652 0.7097146  0.01018458 0.01137638],[ 4  8 10 12 13 18 25 27 29 30],1000,336,0.765485,100,1000,0.01,0.003,1,10,10,best,42,best
64,64,TID,True,0.06243287407711843,0.0030009585586190943,10,[0.01172531 0.01012804 0.01006992 0.17988589 0.01047559 0.01096616 0.03547354 0.7097146  0.01018458 0.01137638],[ 4  8 10 12 13 18 25 27 29 30],1000,249,0.616119,100,1000,0.01,0.003,1,10,10,best,42,best
65,65,TID,True,0.06237484575522222,0.0030124280828803416,10,[0.01352416 0.01012804 0.01006992 0.17808703 0.01047559 0.01096616 0.03547354 0.7097146  0.01018458 0.01137638],[ 4  8 10 12 13 18 25 27 29 30],1000,291,0.697432,100,1000,0.01,0.003,1,10,10,best,42,best
66,66,iDR,True,0.062144412436386354,0.0030097938085096266,10,[0.01354829 0.01014611 0.01008788 0.1766207  0.01049428 0.01098572 0.03553683 0.71098077 0.01020275 0.01139667],[ 4  8 10 12 13 18 25 27 29 30],1000,346,0.757338,100,1000,0.01,0.003,1,10,10,best,42,best
67,67,iDR,True,0.061787692609931555,0.0030050512027470816,10,[0.01345265 0.01007448 0.01001666 0.17537382 0.01042019 0.01090817 0.03528595 0.71302113 0.01013072 0.01131622],[ 4  8 10 12 13 18 25 27 29 30],1000,330,0.787651,100,1000,0.01,0.003,1,10,10,best,42,best
68,68,TID,True,0.06146937655866522,0.003001278911795515,10,[0.01345265 0.01007448 0.01001666 0.17362009 0.01042019 0.01090817 0.03528595 0.71477487 0.01013072 0.01131622],[ 4  8 10 12 13 18 25 27 29 30],1000,288,0.696292,100,1000,0.01,0.003,1,10,10,best,42,best
69,69,TID,True,0.06131308965402865,0.0030018067168558512,10,[0.01345265 0.01007448 0.01001666 0.17188388 0.01042019 0.01090817 0.03702216 0.71477487 0.01013072 0.01131622],[ 4  8 10 12 13 18 25 27 29 30],1000,227,0.633171,100,1000,0.01,0.003,1,10,10,best,42,best
70,70,TID,True,0.06115679128654845,0.003002329243865584,10,[0.01345265 0.01007448 0.01001666 0.17016505 0.01042019 0.01090817 0.03874099 0.71477487 0.01013072 0.01131622],[ 4  8 10 12 13 18 25 27 29 30],1000,285,0.653614,100,1000,0.01,0.003,1,10,10,best,42,best
71,71,TID,True,0.061000512900057646,0.00300284654560522,10,[0.01345265 0.01007448 0.01001666 0.1684634  0.01042019 0.01090817 0.04044264 0.71477487 0.01013072 0.01131622],[ 4  8 10 12 13 18 25 27 29 30],1000,273,0.68047,100,1000,0.01,0.003,1,10,10,best,42,best
72,72,iDR,True,0.06077350842851404,0.0030003386962257814,10,[0.01347535 0.01009148 0.01003357 0.1670602  0.01043778 0.01092657 0.04051089 0.71598104 0.01014782 0.01133531],[ 4  8 10 12 13 18 25 27 29 30],1000,267,0.676426,100,1000,0.01,0.003,1,10,10,best,42,best
73,73,TID,True,0.06061758051055839,0.0030008465592240496,10,[0.01347535 0.01009148 0.01003357 0.16538959 0.01043778 0.01092657 0.04218149 0.71598104 0.01014782 0.01133531],[ 4  8 10 12 13 18 25 27 29 30],1000,232,0.719747,100,1000,0.01,0.003,1,10,10,best,42,best
74,74,TID,True,0.06046175425843032,0.003001349343592335,10,[0.01347535 0.01009148 0.01003357 0.1637357  0.01043778 0.01092657 0.04383539 0.71598104 0.01014782 0.01133531],[ 4  8 10 12 13 18 25 27 29 30],1000,248,0.658729,100,1000,0.01,0.003,1,10,10,best,42,best
75,75,TID,True,0.06030605766197723,0.003001847100116938,10,[0.01347535 0.01009148 0.01003357 0.16209834 0.01043778 0.01092657 0.04547275 0.71598104 0.01014782 0.01133531],[ 4  8 10 12 13 18 25 27 29 30],1000,278,0.703361,100,1000,0.01,0.003,1,10,10,best,42,best
76,76,TID,True,0.06015051785391867,0.003002339879076294,10,[0.01347535 0.01009148 0.01003357 0.16047736 0.01043778 0.01092657 0.04709373 0.71598104 0.01014782 0.01133531],[ 4  8 10 12 13 18 25 27 29 30],1000,267,0.655422,100,1000,0.01,0.003,1,10,10,best,42,best
77,77,TID,True,0.05999516112990429,0.0030028277302460576,10,[0.01347535 0.01009148 0.01003357 0.15887258 0.01043778 0.01092657 0.0486985  0.71598104 0.01014782 0.01133531],[ 4  8 10 12 13 18 25 27 29 30],1000,264,0.665055,100,1000,0.01,0.003,1,10,10,best,42,best
78,78,iDR,True,0.05977378025830902,0.0030004628528032583,10,[0.01349679 0.01010754 0.01004953 0.15753414 0.01045438 0.01094396 0.04877599 0.71712034 0.01016396 0.01135335],[ 4  8 10 12 13 18 25 27 29 30],1000,271,0.715623,100,1000,0.01,0.003,1,10,10,best,42,best
79,79,TID,True,0.05961903647029977,0.003000941756581555,10,[0.01349679 0.01010754 0.01004953 0.1559588  0.01045438 0.01094396 0.05035134 0.71712034 0.01016396 0.01135335],[ 4  8 10 12 13 18 25 27 29 30],1000,269,0.650189,100,1000,0.01,0.003,1,10,10,best,42,best
80,80,TID,True,0.0594645439986546,0.0030014158713220686,10,[0.01349679 0.01010754 0.01004953 0.15439921 0.01045438 0.01094396 0.05191092 0.71712034 0.01016396 0.01135335],[ 4  8 10 12 13 18 25 27 29 30],1000,269,0.666089,100,1000,0.01,0.003,1,10,10,best,42,best
81,81,TID,True,0.059310326123027994,0.003001885244915177,10,[0.01349679 0.01010754 0.01004953 0.15285522 0.01045438 0.01094396 0.05345492 0.71712034 0.01016396 0.01135335],[ 4  8 10 12 13 18 25 27 29 30],1000,281,0.69857,100,1000,0.01,0.003,1,10,10,best,42,best
82,82,TID,True,0.059156405377000884,0.0030023499247723547,10,[0.01349679 0.01010754 0.01004953 0.15132666 0.01045438 0.01094396 0.05498347 0.71712034 0.01016396 0.01135335],[ 4  8 10 12 13 18 25 27 29 30],1000,300,0.713524,100,1000,0.01,0.003,1,10,10,best,42,best
83,83,iDR,True,0.05893991095822281,0.003000096817255495,10,[0.01351725 0.01012286 0.01006476 0.15004045 0.01047023 0.01096055 0.0550668  0.71820718 0.01017937 0.01137056],[ 4  8 10 12 13 18 25 27 29 30],1000,295,0.725759,100,1000,0.01,0.003,1,10,10,best,42,best
84,84,TID,True,0.05878678709163357,0.003000552940219179,10,[0.01351725 0.01012286 0.01006476 0.14854004 0.01047023 0.01096055 0.0565672  0.71820718 0.01017937 0.01137056],[ 4  8 10 12 13 18 25 27 29 30],1000,193,0.579182,100,1000,0.01,0.003,1,10,10,best,42,best
85,85,TID,True,0.058634018718905716,0.003001004501953226,10,[0.01351725 0.01012286 0.01006476 0.14705464 0.01047023 0.01096055 0.0580526  0.71820718 0.01017937 0.01137056],[ 4  8 10 12 13 18 25 27 29 30],1000,259,0.667797,100,1000,0.01,0.003,1,10,10,best,42,best
86,86,TID,True,0.058481625682422274,0.0030014515480699332,10,[0.01351725 0.01012286 0.01006476 0.1455841  0.01047023 0.01096055 0.05952315 0.71820718 0.01017937 0.01137056],[ 4  8 10 12 13 18 25 27 29 30],1000,262,0.662112,100,1000,0.01,0.003,1,10,10,best,42,best
87,87,TID,True,0.0583296271605357,0.0030018941237254736,10,[0.01351725 0.01012286 0.01006476 0.14412826 0.01047023 0.01096055 0.06097899 0.71820718 0.01017937 0.01137056],[ 4  8 10 12 13 18 25 27 29 30],1000,299,0.703943,100,1000,0.01,0.003,1,10,10,best,42,best
88,88,TID,True,0.05817804168347379,0.0030023322736244576,10,[0.01351725 0.01012286 0.01006476 0.14268697 0.01047023 0.01096055 0.06242027 0.71820718 0.01017937 0.01137056],[ 4  8 10 12 13 18 25 27 29 30],1000,306,0.710074,100,1000,0.01,0.003,1,10,10,best,42,best
89,89,iDR,True,0.057967797022860014,0.0030002079613200396,10,[0.01353656 0.01013732 0.01007915 0.14146195 0.01048519 0.01097621 0.06250947 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,315,0.756783,100,1000,0.01,0.003,1,10,10,best,42,best
90,90,TID,True,0.05781719557335261,0.003000638005653279,10,[0.01353656 0.01013732 0.01007915 0.14004733 0.01048519 0.01097621 0.06392409 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,197,0.600437,100,1000,0.01,0.003,1,10,10,best,42,best
91,91,TID,True,0.05766705499549506,0.003001063749543186,10,[0.01353656 0.01013732 0.01007915 0.13864686 0.01048519 0.01097621 0.06532456 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,282,0.644347,100,1000,0.01,0.003,1,10,10,best,42,best
92,92,TID,True,0.05751739147891346,0.0030014852359941937,10,[0.01353656 0.01013732 0.01007915 0.13726039 0.01048519 0.01097621 0.06671103 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,279,0.751008,100,1000,0.01,0.003,1,10,10,best,42,best
93,93,TID,True,0.05736822063745067,0.0030019025075806913,10,[0.01353656 0.01013732 0.01007915 0.13588779 0.01048519 0.01097621 0.06808363 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,267,0.728003,100,1000,0.01,0.003,1,10,10,best,42,best
94,94,TID,True,0.05721955752316046,0.0030023156064513247,10,[0.01353656 0.01013732 0.01007915 0.13452891 0.01048519 0.01097621 0.06944251 0.71923344 0.01019391 0.01138681],[ 4  8 10 12 13 18 25 27 29 30],1000,313,0.717435,100,1000,0.01,0.003,1,10,10,best,42,best
95,95,iDR,True,0.057015801663916725,0.003000312891933439,10,[0.0135548  0.01015098 0.01009272 0.13336303 0.01049931 0.01099099 0.06953606 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,317,0.73338,100,1000,0.01,0.003,1,10,10,best,42,best
96,96,TID,True,0.05686827529602235,0.003000718315548511,10,[0.0135548  0.01015098 0.01009272 0.1320294  0.01049931 0.01099099 0.07086969 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,226,0.618767,100,1000,0.01,0.003,1,10,10,best,42,best
97,97,TID,True,0.05672129529541287,0.0030011196849274316,10,[0.0135548  0.01015098 0.01009272 0.13070911 0.01049931 0.01099099 0.07218998 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,244,0.637868,100,1000,0.01,0.003,1,10,10,best,42,best
98,98,TID,True,0.0565748746834537,0.0030015170406125628,10,[0.0135548  0.01015098 0.01009272 0.12940202 0.01049931 0.01099099 0.07349707 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,277,0.667425,100,1000,0.01,0.003,1,10,10,best,42,best
99,99,TID,True,0.05642902598344432,0.003001910422740843,10,[0.0135548  0.01015098 0.01009272 0.128108   0.01049931 0.01099099 0.07479109 0.72020232 0.01020765 0.01140214],[ 4  8 10 12 13 18 25 27 29 30],1000,284,0.690235,100,1000,0.01,0.003,1,10,10,best,42,best
